fecha,ccaa,Casos totales,Casos diag día previo,Casos diag ultimos 14 días: n,Casos diag ultimos 14 días: IA,Casos diag ultimos 7 días: n,Casos diag ultimos 7 días: IA,Casos diag fecha sintomas 14 días:n,Casos diag fecha sintomas 14 días:IA,Casos diag fecha sintomas 7 días:n,Casos diag fecha sintomas 7 días:IA
2020-08-17,Ceuta,183 ,5 ,17 ,"20,05 ",16 ,"18,87 ",15 ,"17,69 ",12 ,"14,15 "
2020-08-17,C. Valenciana,17.492 ,21 ,3.289 ,"65,73 ",1.587 ,"31,72 ",1.124 ,"22,46 ",253 ,"5,06 "
2020-08-17,Extremadura,3.882 ,27 ,436 ,"40,84 ",269 ,"25,19 ",132 ,"12,36 ",57 ,"5,34 "
2020-08-17,Galicia,11.171 ,92 ,1.361 ,"50,42 ",889 ,"32,93 ",256 ,"9,48 ",69 ,"2,56 "
2020-08-17,Madrid,93.359 ,324 ,15.554 ,"233,42 ",9.430 ,"141,52 ",5.216 ,"78,28 ",1.452 ,"21,79 "
2020-08-17,Melilla,204 ,4 ,65 ,"75,16 ",42 ,"48,56 ",25 ,"28,91 ",12 ,"13,87 "
2020-08-17,Murcia,3.580 ,15 ,1.025 ,"68,61 ",535 ,"35,81 ",494 ,"33,07 ",144 ,"9,64 "
2020-08-17,Navarra,8.211 ,60 ,1.337 ,"204,37 ",703 ,"107,46 ",658 ,"100,58 ",230 ,"35,16 "
2020-08-17,País Vasco,21.915 ,344 ,5.209 ,"235,94 ",3.036 ,"137,51 ",189 ,"8,56 ",10 ,"0,45 "
2020-08-17,La Rioja,4.604 ,36 ,399 ,"125,95 ",332 ,"104,80 ",222 ,"70,08 ",127 ,"40,09 "
2020-08-18,Andalucía,20.918 ,202 ,4.942 ,"58,73 ",2.934 ,"34,87 ",1.647 ,"19,57 ",512 ,"6,08 "
2020-08-18,Aragón,22.269 ,374 ,6.815 ,"516,57 ",3.126 ,"236,95 ",1.240 ,"93,99 ",371 ,"28,12 "
2020-08-18,Asturias,2.880 ,20 ,321 ,"31,38 ",165 ,"16,13 ",100 ,"9,78 ",34 ,"3,32 "
2020-08-18,Baleares,4.686 ,0 ,1.818 ,"158,16 ",720 ,"62,64 ",882 ,"76,73 ",162 ,"14,09 "
2020-08-18,Canarias,3.781 ,86 ,1.083 ,"50,29 ",735 ,"34,13 ",660 ,"30,65 ",268 ,"12,45 "
2020-08-18,Cantabria,3.138 ,19 ,571 ,"98,27 ",379 ,"65,22 ",288 ,"49,56 ",101 ,"17,38 "
2020-08-18,Castilla La Mancha,20.397 ,29 ,1.488 ,"73,20 ",860 ,"42,30 ",734 ,"36,11 ",219 ,"10,77 "
2020-08-18,Castilla y León,23.720 ,25 ,3.028 ,"126,19 ",1.579 ,"65,80 ",663 ,"27,63 ",229 ,"9,54 "
2020-08-18,Cataluña,95.123 ,69 ,11.158 ,"145,38 ",5.166 ,"67,31 ",3.610 ,"47,03 ",798 ,"10,40 "
2020-08-18,Ceuta,192 ,8 ,26 ,"30,67 ",24 ,"28,31 ",19 ,"22,41 ",15 ,"17,69 "
2020-08-18,C. Valenciana,17.881 ,46 ,3.491 ,"69,77 ",1.717 ,"34,31 ",1.246 ,"24,90 ",303 ,"6,06 "
2020-08-18,Extremadura,3.933 ,32 ,480 ,"44,96 ",308 ,"28,85 ",138 ,"12,92 ",62 ,"5,81 "
2020-08-18,Galicia,11.311 ,124 ,1.457 ,"53,97 ",932 ,"34,52 ",111 ,"4,11 ",22 ,"0,81 "
2020-08-18,Madrid,94.978 ,704 ,16.757 ,"251,48 ",10.379 ,"155,76 ",5.001 ,"75,05 ",1.158 ,"17,38 "
2020-08-18,Melilla,204 ,0 ,64 ,"74,00 ",30 ,"34,69 ",21 ,"24,28 ",9 ,"10,41 "
2020-08-18,Murcia,3.664 ,5 ,1.070 ,"71,62 ",573 ,"38,36 ",480 ,"32,13 ",116 ,"7,76 "
2020-08-18,Navarra,8.259 ,49 ,1.328 ,"202,99 ",711 ,"108,68 ",603 ,"92,17 ",180 ,"27,51 "
2020-08-18,País Vasco,22.199 ,282 ,5.313 ,"240,65 ",3.071 ,"139,10 ",150 ,"6,79 ",6 ,"0,27 "
2020-08-18,La Rioja,4.663 ,54 ,452 ,"142,68 ",360 ,"113,64 ",240 ,"75,76 ",113 ,"35,67 "
2020-08-19,Andalucía,21.508 ,261 ,5.304 ,"63,04 ",3.106 ,"36,91 ",1.796 ,"21,34 ",566 ,"6,73 "
2020-08-19,Aragón,22.901 ,466 ,6.736 ,"510,58 ",3.296 ,"249,83 ",1.726 ,"130,83 ",446 ,"33,81 "
2020-08-19,Asturias,2.910 ,31 ,337 ,"32,95 ",174 ,"17,01 ",104 ,"10,17 ",35 ,"3,42 "
2020-08-19,Baleares,4.906 ,0 ,1.894 ,"164,77 ",741 ,"64,47 ",909 ,"79,08 ",149 ,"12,96 "
2020-08-19,Canarias,3.925 ,135 ,1.210 ,"56,19 ",812 ,"37,71 ",711 ,"33,02 ",255 ,"11,84 "
2020-08-19,Cantabria,3.191 ,53 ,586 ,"100,85 ",367 ,"63,16 ",277 ,"47,67 ",88 ,"15,14 "
2020-08-19,Castilla La Mancha,20.615 ,69 ,1.645 ,"80,92 ",932 ,"45,85 ",774 ,"38,07 ",211 ,"10,38 "
2020-08-19,Castilla y León,24.012 ,44 ,3.132 ,"130,52 ",1.660 ,"69,18 ",694 ,"28,92 ",237 ,"9,88 "
2020-08-19,Cataluña,96.139 ,244 ,11.032 ,"143,74 ",5.136 ,"66,92 ",3.843 ,"50,07 ",970 ,"12,64 "
2020-08-19,Ceuta,195 ,3 ,29 ,"34,21 ",27 ,"31,85 ",22 ,"25,95 ",15 ,"17,69 "
2020-08-19,C. Valenciana,18.172 ,64 ,3.493 ,"69,81 ",1.757 ,"35,11 ",1.290 ,"25,78 ",317 ,"6,34 "
2020-08-19,Extremadura,4.019 ,73 ,546 ,"51,14 ",355 ,"33,25 ",164 ,"15,36 ",83 ,"7,77 "
2020-08-19,Galicia,11.441 ,101 ,1.546 ,"57,27 ",943 ,"34,93 ",256 ,"9,48 ",66 ,"2,44 "
2020-08-19,Madrid,97.185 ,1.535 ,17.873 ,"268,23 ",10.487 ,"157,38 ",4.853 ,"72,83 ",954 ,"14,32 "
2020-08-19,Melilla,204 ,0 ,60 ,"69,37 ",23 ,"26,59 ",20 ,"23,12 ",5 ,"5,78 "
2020-08-19,Murcia,3.796 ,14 ,1.105 ,"73,97 ",580 ,"38,82 ",507 ,"33,94 ",131 ,"8,77 "
2020-08-19,Navarra,8.344 ,85 ,1.345 ,"205,59 ",639 ,"97,67 ",595 ,"90,95 ",173 ,"26,44 "
2020-08-19,País Vasco,22.674 ,472 ,5.575 ,"252,52 ",3.217 ,"145,71 ",121 ,"5,48 ",3 ,"0,14 "
2020-08-19,La Rioja,4.730 ,65 ,517 ,"163,20 ",393 ,"124,05 ",262 ,"82,70 ",106 ,"33,46 "
2020-08-20,Andalucía,22.107 ,302 ,5.579 ,"66,30 ",3.183 ,"37,83 ",1.892 ,"22,49 ",602 ,"7,15 "
2020-08-20,Aragón,23.251 ,352 ,6.724 ,"509,67 ",3.207 ,"243,09 ",1.579 ,"119,69 ",339 ,"25,70 "
2020-08-20,Asturias,2.933 ,23 ,326 ,"31,87 ",169 ,"16,52 ",113 ,"11,05 ",35 ,"3,42 "
2020-08-20,Baleares,5.100 ,0 ,1.977 ,"171,99 ",706 ,"61,42 ",934 ,"81,26 ",126 ,"10,96 "
2020-08-20,Canarias,4.114 ,171 ,1.366 ,"63,43 ",895 ,"41,56 ",782 ,"36,31 ",265 ,"12,31 "
2020-08-20,Cantabria,3.240 ,49 ,617 ,"106,18 ",371 ,"63,85 ",278 ,"47,84 ",86 ,"14,80 "
2020-08-20,Castilla La Mancha,20.828 ,88 ,1.806 ,"88,84 ",1.008 ,"49,59 ",848 ,"41,71 ",214 ,"10,53 "
2020-08-20,Castilla y León,24.400 ,107 ,3.282 ,"136,78 ",1.773 ,"73,89 ",747 ,"31,13 ",241 ,"10,04 "
2020-08-20,Cataluña,97.234 ,180 ,11.105 ,"144,69 ",5.199 ,"67,74 ",3.895 ,"50,75 ",995 ,"12,96 "
2020-08-20,Ceuta,202 ,7 ,36 ,"42,46 ",33 ,"38,93 ",29 ,"34,21 ",20 ,"23,59 "
2020-08-20,C. Valenciana,18.647 ,116 ,3.650 ,"72,95 ",1.841 ,"36,79 ",1.424 ,"28,46 ",406 ,"8,11 "
2020-08-20,Extremadura,4.085 ,73 ,574 ,"53,76 ",362 ,"33,90 ",177 ,"16,58 ",78 ,"7,31 "
2020-08-20,Galicia,11.638 ,116 ,1.705 ,"63,16 ",994 ,"36,82 ",264 ,"9,78 ",71 ,"2,63 "
2020-08-20,Madrid,99.529 ,1.020 ,19.207 ,"288,25 ",10.943 ,"164,23 ",6.476 ,"97,19 ",1.610 ,"24,16 "
2020-08-20,Melilla,217 ,13 ,69 ,"79,78 ",35 ,"40,47 ",33 ,"38,16 ",4 ,"4,62 "
2020-08-20,Murcia,3.909 ,14 ,1.138 ,"76,18 ",564 ,"37,75 ",524 ,"35,08 ",123 ,"8,23 "
2020-08-20,Navarra,8.454 ,113 ,1.374 ,"210,02 ",668 ,"102,11 ",619 ,"94,62 ",187 ,"28,58 "
2020-08-20,País Vasco,23.228 ,547 ,5.800 ,"262,71 ",3.220 ,"145,85 ",100 ,"4,53 ",7 ,"0,32 "
2020-08-20,La Rioja,4.790 ,58 ,570 ,"179,93 ",411 ,"129,74 ",265 ,"83,65 ",102 ,"32,20 "
2020-08-21,Andalucía,22.825 ,303 ,5.974 ,"71,00 ",3.327 ,"39,54 ",2.075 ,"24,66 ",699 ,"8,31 "
2020-08-21,Aragón,23.607 ,342 ,6.454 ,"489,20 ",3.041 ,"230,50 ",1.447 ,"109,68 ",291 ,"22,06 "
2020-08-21,Asturias,2.973 ,40 ,338 ,"33,05 ",187 ,"18,28 ",111 ,"10,85 ",41 ,"4,01 "
2020-08-21,Baleares,5.342 ,0 ,2.051 ,"178,43 ",613 ,"53,33 ",995 ,"86,56 ",131 ,"11,40 "
2020-08-21,Canarias,4.288 ,149 ,1.486 ,"69,01 ",960 ,"44,58 ",851 ,"39,52 ",291 ,"13,51 "
2020-08-21,Cantabria,3.240 ,0 ,587 ,"101,02 ",310 ,"53,35 ",246 ,"42,34 ",62 ,"10,67 "
2020-08-21,Castilla La Mancha,21.054 ,92 ,1.962 ,"96,51 ",1.036 ,"50,96 ",921 ,"45,31 ",237 ,"11,66 "
2020-08-21,Castilla y León,24.816 ,121 ,3.544 ,"147,69 ",1.876 ,"78,18 ",832 ,"34,67 ",294 ,"12,25 "
2020-08-21,Cataluña,98.462 ,172 ,11.348 ,"147,85 ",5.407 ,"70,45 ",4.137 ,"53,90 ",1.124 ,"14,64 "
2020-08-21,Ceuta,208 ,6 ,42 ,"49,54 ",37 ,"43,64 ",34 ,"40,11 ",20 ,"23,59 "
2020-08-21,C. Valenciana,19.103 ,99 ,3.826 ,"76,46 ",1.897 ,"37,91 ",1.517 ,"30,32 ",436 ,"8,71 "
2020-08-21,Extremadura,4.194 ,68 ,651 ,"60,97 ",398 ,"37,28 ",188 ,"17,61 ",89 ,"8,34 "
2020-08-21,Galicia,11.952 ,182 ,1.924 ,"71,27 ",1.180 ,"43,71 ",276 ,"10,22 ",83 ,"3,07 "
2020-08-21,Madrid,102.382 ,1.199 ,20.885 ,"313,43 ",11.679 ,"175,27 ",6.360 ,"95,45 ",1.425 ,"21,39 "
2020-08-21,Melilla,217 ,0 ,67 ,"77,47 ",30 ,"34,69 ",31 ,"35,84 ",4 ,"4,62 "
2020-08-21,Murcia,4.067 ,26 ,1.212 ,"81,13 ",579 ,"38,76 ",608 ,"40,70 ",151 ,"10,11 "
2020-08-21,Navarra,8.547 ,98 ,1.361 ,"208,04 ",652 ,"99,66 ",634 ,"96,91 ",195 ,"29,81 "
2020-08-21,País Vasco,23.919 ,685 ,6.083 ,"275,53 ",3.429 ,"155,31 ",103 ,"4,67 ",4 ,"0,18 "
2020-08-21,La Rioja,4.858 ,68 ,625 ,"197,29 ",426 ,"134,47 ",293 ,"92,49 ",113 ,"35,67 "
2020-08-24,Andalucía,24.650 ,292 ,6.871 ,"81,66 ",3.537 ,"42,04 ",2.211 ,"26,28 ",695 ,"8,26 "
2020-08-24,Aragón,24.591 ,216 ,5.813 ,"440,62 ",2.536 ,"192,22 ",1.313 ,"99,52 ",336 ,"25,47 "
